Location,StockID,Color,Shape,Clarity,Weight,Polish,Symmetry,Measurement,Depth,Table,Fluoresence,Fluoresence Color,Lab,CertNo,Unit,Price/Ct,Curr
Bangkok,6578,,Bullet,,0.66,,,6.25 X 3.25,,,None,,Side Stone,,Cts,1850,US$
Bangkok,6506,,Diamond,,0.65,,,5.15 X 4.5,,,None,,Side Stone,,Cts,0,US$
Bangkok,6500,,Cadillac,,0.65,,,5.10 X 4.10,,,None,,Side Stone,,Cts,1850,US$
Mumbai,6485,G,Shield,VS2,0.65,,,4.65X4.4X,0,0,None,,Side Stone,,Cts,1850,US$
Bangkok,6056,Light Pink,Cushion,VS2,0.65,VG,GD,4.56X4.47X3.21,71.8,64,None,,GIA,7423000000,Cts,8800,US$
Bangkok,6426,G,Round,,0.65,,,6.1,0,0,None,,,SV-42,Cts,36000,US$
Mumbai,5232,Fancy Light Pink,Cushion,SI2,0.65,EX,GD,4.94X4.72X3.13,66.3,58,None,,GIA,2417000000,Cts,14500,US$
Mumbai,8207,Fancy Brownish Yellow,Pear,VS1,0.64,,,7.49X4.50X2.42,,,-,,,,Cts,300,US$
Bangkok,6502,,Shield,,0.64,,,5.10 x 4.30,,,,,Side Stone,,Cts,0,US$
Mumbai,6861,G,Emerald,,0.64,,,8.20 x 6.00,0,0,None,,,SV-71,Cts,60938,US$
Mumbai,6509,G,Bullet,VS2,0.64,,,5.2X3.65X,0,0,None,,Side Stone,,Cts,1750,US$
Bangkok,6491,,Half Moon,,0.64,,,4.85 X 3.70,,,None,,Side Stone,,Cts,1750,US$
Bangkok,6495,,Half Moon,,0.63,,,4.95 X 3.50,,,,,,,Cts,0,US$
Bangkok,6492,,Cadillac,,0.63,,,4.85 X 4.10,,,None,,Side Stone,,Cts,1750,US$
Hong Kong,6647,G,Round,VS1,0.63,EX,EX,5.46 x 5.49 x 3.41,62.3,59,None,,GIA,6401000000,Cts,3000,US$
Mumbai,1931,Fancy Brownish Purplish Pink,Radiant,I1,0.63,G,GD,4.81 X 4.54 X 3.23,71.3,58,STG,Blue,GIA,5182000000,Cts,9000,US$
Mumbai,8226,Fancy Brownish Yellow,Pear,SI1,0.62,,,7.3X4.26X2.82,,,-,,,,Cts,300,US$
Hong Kong,6524,G,Bullet,SI2,0.62,,,5.4X4.8X,0,0,None,,Side Stone,,Cts,1750,US$
Bangkok,6497,,Cadillac,,0.62,,,5.00 X 3.85,,,None,,Side Stone,,Cts,1750,US$
Bangkok,6521,,Shield,,0.62,,,5.35 X 4.9,,,None,,Side Stone,,Cts,1750,US$
Mumbai,6542,G,Shield,SI1,0.62,,,5.7X3.7X,0,0,None,,Side Stone,,Cts,1750,US$
Bangkok,6564,G,Shield,SI2,0.62,,,6.05 X 4.30,,,None,,Side Stone,,Cts,1750,US$
Mumbai,6537,F,Bullet,SI1,0.61,,,5.6X4.25X,0,0,None,,Side Stone,,Cts,1750,US$
Bangkok,5124,,Half Moon,,0.61,,,6.00 X 3.70,,,None,,Side Stone,,Cts,1750,US$
Bangkok,6558,,Shield,,0.61,,,5.95 X 4.85,,,None,,Side Stone,,Cts,1750,US$
Bangkok,6569,,Shield,,0.61,,,6.10 X 3.60,,,,,,,Cts,0,US$
Bangkok,6567,,Bullet,,0.61,,,6.10 X  3.15,,,None,,Side Stone,,Cts,1750,US$
Mumbai,6568,H,Bullet,,0.61,,,6.1X3.15X,0,0,None,,Side Stone,,Cts,1750,US$
Bangkok,4915,Fancy Intense Blue,Marquise,VS1,0.61,VG,GD,9.97x4.36x2.08,47.7,63,None,,GIA,5202000000,Cts,222222,US$
Bangkok,2372,Fancy Intense Purplish Pink,Oval,,0.61,,,6.33x4.58x3.27,0,0,None,,GIA,6205000000,Cts,55000,US$
Mumbai,6346,Fancy Pinkish Brown,Cushion,SI1,0.61,G,GD,5.39 x 4.15 x 3.04,73.2,57,None,,GIA,2438000000,Cts,2000,US$
Bangkok,6958,Very Light Green Yellow,Heart,SI1,0.6,VG,VG,5.29 x 5.79 x 3.32,57.3,57,Vst,Blue,GIA,2437000000,Cts,2800,US$
Mumbai,6551,,Cadillac,SI2,0.6,,,5.9X3.45X,0,0,None,,Side Stone,,Cts,1750,US$
Mumbai,6087,Fancy Intense Yellow,Pear,SI2,0.6,VG,GD,6.76 X 4.50 X 2.85,63.4,59,STG,Green,GIA,7433000000,Cts,1111,US$
Mumbai,6530,G,Shield,,0.6,,,5.5X3.2X,0,0,None,,Side Stone,,Cts,1750,US$
Mumbai,6577,G,Bullet,,0.6,,,6.25X3.1X,0,0,None,,Side Stone,,Cts,1750,US$
Mumbai,8255,Fancy Brownish Greenish Yellow,Cushion,VS2,0.6,,,5.1X4.24X2.76,,,,,,,Cts,300,US$
Bangkok,6490,,Half Moon,,0.6,,,4.75 X 3.60,,,None,,Side Stone,,Cts,1750,US$
Bangkok,6535,F,Bullet,SI1,0.6,,,5.55 X 4.70,,,None,,Side Stone,,Cts,1750,US$
Mumbai,6078,U-V,Cushion,SI2,0.6,VG,VG,5.03 X 4.41 X 3.07,69.7,56,None,,GIA,2437000000,Cts,1000,US$
Mumbai,6527,E,Bullet,SI1,0.59,,,5.45X4.8X,0,0,None,,Side Stone,,Cts,1650,US$
Mumbai,9129,Faint Pink,Round,SI1,0.59,EX,EX,5.43 - 5.45 x 3.29,60.5,55,None,,GIA,2517000000,Cts,1800,US$
Bangkok,6493,,Half Moon,,0.58,,,4.9X3.45X,0,0,None,,Side Stone,,Cts,1650,US$
Mumbai,1755,Light Pink,Heart,,0.58,,,5.12 x 5.66 x 3.10,0,0,None,,GIA,6202000000,Cts,8000,US$
Bangkok,648,Light Pink,Heart,I1,0.58,VG,GD,4.81X6.19X3.15,50.9,62,STG,Blue,GIA,1214000000,Cts,5000,US$
Mumbai,6268,E,Radiant,IF,0.58,EX,VG,5.39 x 4.06 x 2.89,71.2,64,None,,GIA,7429000000,Cts,1547,US$
Bangkok,6543,,Kite Step Cut,,0.58,,,5.7 X 3.9,,,None,,Side Stone,,Cts,0,US$
Mumbai,6504,G,Bullet,SI1,0.57,,,5.15X4.35X,0,0,None,,Side Stone,,Cts,1650,US$
Bangkok,5134,G,Shield,SI1,0.57,,,5.40 x 4.00,0,0,,,,,Cts,1650,US$
Mumbai,1584,Fancy Purple Pink,Radiant,I2,0.57,VG,GD,4.69X4.03X3.30,81.9,64,None,,GIA,6183000000,Cts,15500,US$
Bangkok,7126,Light Pink,Cushion,SI2,0.56,VG,GD,4.48X4.48X3.1,69.5,55,Fnt,,GIA,7436000000,Cts,5000,US$
Hong Kong,7208,Faint Pinkish Brown,Pear,VS2,0.56,VG,VG,7.02 x 4.25 x 2.66,62.6,56,None,,GIA,2222000000,Cts,2505,US$
Bangkok,4969,Fancy Yellowish Green,Radiant,SI1,0.56,VG,GD,5.30 x 3.97 x 2.82,71.1,65,None,,GIA,7418000000,Cts,800,US$
Bangkok,4971,Fancy Light Yellowish Green,Radiant,SI1,0.56,VG,GD,5.63 x 3.84 x 2.70,70.2,62,None,,GIA,6412000000,Cts,800,US$
Bangkok,6507,E,Bullet,SI1,0.56,,,5.15 X 4.70,,,None,,Side Stone,,Cts,1650,US$
Mumbai,6331,G,Other,VVS2,0.56,EX,VG,4.80 X 4.78 X 3.44,72.1,61,None,,GIA,7258000000,Cts,3600,US$
Bangkok,6529,I,Half Moon,,0.55,,,5.50 X 3.05,,,None,,Side Stone,,Cts,1650,US$
Bangkok,6518,,Shield,,0.55,,,5.35 X 3.1,,,None,,Side Stone,,Cts,1650,US$
Mumbai,719,Fancy Vivid Orangy Yellow,Emerald,SI1,0.55,VG,GD,4.87X4.30X3.31,77,46,None,,GIA,7202000000,Cts,6000,US$
Mumbai,6086,Very Light Brown,Cushion,I1,0.55,VG,GD,4.70 X 4.54 X 2.93,64.5,59,None,,GIA,7439000000,Cts,1000,US$
Mumbai,1801,Fancy Light Gray Blue,Cut cornered square,I1,0.55,G,GD,4.84X4.81X3.09,64.2,60,None,,GIA,1187000000,Cts,20000,US$
Mumbai,8243,Fancy Light Brown,Emerald,SI1,0.55,,,5.67X3.64X2.32,,,,,,,Cts,300,US$
Mumbai,7314,Fancy Pink,Radiant,I2,0.55,G,GD,5.05 X 4.07 X 2.94,72.2,75,Fnt,,GIA,2464000000,Cts,12500,US$
Mumbai,4074,,Trapezoid,,0.55,,,5.20X4.10,0,0,None,,Side Stone,,Cts,1650,US$
Hong Kong,445,Fancy Light Grayish Yellowish Green,Radiant,VVS2,0.54,VG,GD,4.94X4.88X2.82,57.8,69,None,,GIA,6205000000,Cts,2000,US$
Bangkok,6484,,Half Moon,,0.54,,,4.50 X 3.50,,,None,,Side Stone,,Cts,1600,US$
Bangkok,6589,F,Shield,,0.54,,,6.50 X 3.70,,,None,,Side Stone,,Cts,0,US$
Bangkok,652,Light Pink,Cut cornered square,SI2,0.53,VG,GD,4.69 x 4.68 x 2.86,,79,STG,,GIA,6223000000,Cts,6000,US$
Mumbai,6550,G,Bullet,SI2,0.53,,,5.9X3.05X,0,0,None,,Side Stone,,Cts,1600,US$
Mumbai,6271,E,Radiant,IF,0.53,EX,VG,5.10 x 4.08 x 2.90,71,71,None,,GIA,1426000000,Cts,1568,US$
Mumbai,4204,Fancy Intense Yellow,Oval,SI2,0.53,VG,GD,5.82*4.28*2.81,65.6,57,Fnt,,GIA,6363000000,Cts,1250,US$
Mumbai,2054,Very Light Pink,Other,SI1,0.53,,,4.99x5.03x3.37,0,0,None,,CGL,h8558063,Cts,5000,US$
Mumbai,8239,Fancy Light Greenish Yellow,Emerald,SI1,0.53,,,4.21X4.79X2.52,,,,,,,Cts,300,US$
Mumbai,5237,Fancy Light Orangy Pink,Radiant,SI2,0.53,EX,GD,5.10 x 3.77 x 2.79,74.1,61,STG,Blue,GIA,7402000000,Cts,11111,US$
Mumbai,6863,G,Emerald,,0.53,,,7.20 x 5.40,0,0,None,,,SV-69,Cts,56840,US$
Mumbai,3347,Fancy Deep Brownish Yellow,Heart,I2,0.52,EX,GD,4.84X5.20X2.87,55.1,56,Med,Yellow,GIA,5203000000,Cts,500,US$
Bangkok,4712,Light Blue,Pear,SI2,0.52,G,VG,6.81X4.11X2.54,61.7,59,Med,Blue,GIA,7386000000,Cts,4500,US$
Hong Kong,7207,Very Light Pinkish Brown,Pear,VS2,0.52,G,GD,7.01 x 4.39 x 2.49,56.7,57,None,,GIA,1420000000,Cts,2550,US$
Mumbai,2965,Light Pinkish Brown,Pear,SI1,0.52,,,5.63*4.21*2.87,0,0,None,,CGL,H8423494,Cts,0,US$
Bangkok,6343,Faint Pink,Round,SI2,0.52,EX,EX,5.22 X 5.23 X 3.14,60.1,60,Med,Yellow,GIA,1405000000,Cts,2450,US$
Mumbai,4544,Fancy Brownish Orangy Pink,Radiant,VS2,0.52,EX,VG,4.58*4.15*2.86,68.8,60,Fnt,,GIA,6381000000,Cts,8888,US$
Mumbai,5231,Faint Gray,Round,SI1,0.52,EX,EX,5.10X5.12X3.22,63.1,56,None,,GIA,7397000000,Cts,1200,US$
Mumbai,2009,Fancy Orangy Pink,Pear,I2,0.52,VG,GD,6.72X4.57X2.37,51.8,56,Med,Blue,GIA,6243000000,Cts,2400,US$
Hong Kong,6687,Fancy Grayish Greenish Yellow,Cushion,SI2,0.52,VG,GD,4.53 X 4.42 X 2.91,65.8,58,Med,Blue,GIA,7307000000,Cts,1111,US$
Mumbai,6436,G,Pear,,0.52,,,9.10 X 4.70,0,0,None,,,SV-6,Cts,36000,US$
Mumbai,9523,Fancy Light Green Yellow,Pear,SI2,0.52,G,GD,6.87 X 4.16 X 2.54,61,62,STG,,GIA,2557000000,Cts,3000,US$
Bangkok,6525,,Half Moon,,0.52,,,5.45 X 2.95,,,None,,Side Stone,,Cts,1600,US$
Bangkok,6483,,Half Moon,,0.51,,,4.50 X 3.50,,,None,,Side Stone,,Cts,1600,US$
Bangkok,179,Fancy Purple Pink,Cushion,SI2,0.51,VG,GD,4.80X4.34X2.75,63.4,67,None,,GIA,6175000000,Cts,18000,US$
Mumbai,7111,Fancy Vivid Yellow Orange,Cushion,I1,0.51,EX,GD,4.36 X 4.32 X 3.01,69.8,61,STG,Yellow,GIA,7357000000,Cts,8888,US$
Mumbai,2522,Fancy Purplish Pink,Radiant,I2,0.51,G,GD,4.98 x 4.49 x 2.69,60,64,None,Blue,GIA,2476000000,Cts,13000,US$
Bangkok,5140,,Shield,,0.51,,,5.20X4.00,0,0,None,,Side Stone,,Cts,1600,US$
Mumbai,4322,Fancy Intense Yellow,Oval,SI2,0.51,VG,GD,5.70*4.29*2.75,64,65,None,,GIA,6214000000,Cts,1250,US$
Mumbai,6179,Fancy Yellow,Cushion,SI2,0.51,VG,GD,4.52 X 4.11 X 2.89,70.2,58,Fnt,,GIA,6224000000,Cts,1200,US$
Bangkok,6106,Light Pink,Cushion,VS2,0.51,VG,VG,4.77x4.73x2.74,57.8,61,None,,GIA,6431000000,Cts,7200,US$
Bangkok,5607,Light Pink,Pear,SI1,0.51,VG,GD,4.31X 6.07X 2.69,62.3,55,None,,GIA,6422000000,Cts,5500,US$
Bangkok,6055,Light Pink,Cushion,VS2,0.51,VG,VG,4.19x4.00x2.94,73.4,67,None,,GIA,6422000000,Cts,8000,US$
Mumbai,8967,Fancy Light Green,Heart,SI1,0.51,VG,GD,5.44 x 5.75 x 2.51,43.7,58,STG,,GIA,6406000000,Cts,5500,US$
Bangkok,5439,Light Blue,Pear,SI2,0.51,VG,F,6.74X 4.65X 2.45,52.6,58,Med,Blue,GIA,1390000000,Cts,4700,US$
Mumbai,1067,Fancy Light Pink,Oval,SI2,0.51,G,GD,5.90X4.41X2.54,57.7,60,Fnt,,GIA,2227000000,Cts,15000,US$
Mumbai,8232,Fancy Greenish Yellow,Oval,SI1,0.51,,,6.48X4.3X2.41,,,,,,,Cts,300,US$
Mumbai,8216,Fancy Pink Brown,Pear,SI1,0.51,,,6.58X3.94X2.38,,,-,,,,Cts,300,US$
Mumbai,8210,Fancy Brownish Yellow,Pear,SI1,0.51,,,6.56X4.01X2.47,,,-,,,,Cts,300,US$
Mumbai,7055,Fancy Intense Orange Yellow,Pear,SI2,0.51,G,GD,6.08 x 4.00 x 2.78,69.4,52,Med,Yellow,GIA,5267000000,Cts,3600,US$
Mumbai,2013,Fancy Brown Pink,Heart,SI2,0.5,VG,VG,4.49X5.37X2.72,50.7,60,Med,Blue,GIA,6252000000,Cts,2800,US$
Mumbai,8217,Fancy Greenish Yellow,Pear,VS2,0.5,,,6.53X4.01X2.44,,,-,,,,Cts,300,US$
Mumbai,8221,Fancy Brownish Greenish Yellow,Pear,SI1,0.5,,,6.12X3.89X2.51,,,-,,,,Cts,300,US$
Mumbai,8240,Fancy Light Brownish Yellow,Emerald,VS2,0.5,,,5.09X3.51X2.59,,,,,,,Cts,300,US$
Mumbai,8247,Fancy Dark Brownish Yellow,Emerald,SI2,0.5,,,4.05X4.41X2.96,,,,,,,Cts,300,US$
Mumbai,8250,Fancy Light Greenish Yellow,Emerald,SI1,0.5,,,4.02X4.36X2.69,,,,,,,Cts,300,US$
Mumbai,8253,Fancy Brownish Greenish Yellow,Cushion,VS2,0.5,,,4.77X3.94X2.52,,,,,,,Cts,300,US$
Mumbai,7423,Fancy Light Purplish Pink,Oval,SI2,0.5,VG,GD,5.96 X 4.33 X 2.47,57,63,None,,GIA,2235000000,Cts,15000,US$
Bangkok,5438,Very Light Blue,Pear,SI2,0.5,VG,VG,6.60X 4.50X 2.38,52.9,63,STG,Blue,GIA,7382000000,Cts,4700,US$
Bangkok,5410,Light Pink,Cushion,SI2,0.5,EX,VG,4.48 x 4.23 x 2.92,,60,None,,GIA,6227000000,Cts,5500,US$
Bangkok,6113,Light Pinkish Brown,Oval,VS2,0.5,EX,VG,5.27 X 3.98. X 2.87,72.1,61,None,,GIA,1424000000,Cts,3000,US$
Bangkok,5541,Light Pinkish Brown,Radiant,VS2,0.5,EX,VG,4.26 x 4.22 x 2.97,70.4,63,None,,GIA,7418000000,Cts,3100,US$
Bangkok,6336,Very Light Pink,Pear,I1,0.5,G,F,6.41 X 4.40 X 2.61,59.4,69,None,,GIA,1426000000,Cts,2627,US$
Bangkok,6342,Faint Pink,Round,I1,0.5,EX,VG,5.02 X 5.05 X 3.17,63.1,57,None,,GIA,7371000000,Cts,1800,US$
Bangkok,7101,Light Pink,Radiant,SI1,0.5,VG,GD,4.61 x 4.43 x 2.88,65,54,None,,GIA,7432000000,Cts,6900,US$
Mumbai,7108,Fancy Vivid Yellow Orange,Cushion,I1,0.5,VG,GD,4.98 X 3.81 X 2.94,77.1,56,Med,Yellow,GIA,1450000000,Cts,10000,US$
Mumbai,5032,Fancy Yellow,Oval,I1,0.5,G,GD,5.85*4.42*2.76,62.4,63,Fnt,,GIA,2225000000,Cts,650,US$
Mumbai,1360,Fancy Intense Orangy Yellow,Marquise,,0.5,,,7.31 x 4.13 x 2.62,0,0,None,,GIA,2248000000,Cts,5500,US$
Mumbai,7269,Very Light Pink,Pear,VS1,0.5,EX,VG,6.73 x 4.46 x 2.78,62.4,62,None,,GIA,6466000000,Cts,5800,US$
Mumbai,7680,Faint Pinkish Brown,Princess,VS2,0.5,EX,EX,4.36X4.24X3.12,73.6,74,None,,GIA,1479000000,Cts,2500,US$
Mumbai,7798,Faint Pinkish Brown,Heart,SI2,0.5,EX,VG,4.93X5.41X3.07,56.7,61,None,,GIA,6473000000,Cts,1700,US$
Mumbai,6290,,Half Moon,,0.5,,,6.00 x 3.00,0,0,None,,Side Stone,,Cts,1600,US$
Bangkok,8335,Fancy Purple Pink,Cushion,SI2,0.5,EX,VG,4.79 x 4.09 x 2.82,68.8,57,Fnt,,GIA,5467000000,Cts,22500,US$
Mumbai,2012,Fancy Brown Pink,Cut cornered square,I2,0.5,EX,GD,4.15X4.07X3.27,80.3,63,Fnt,,GIA,2248000000,Cts,2250,US$
Mumbai,8244,U-V,Emerald,VS1,0.5,,,5.21X3.47X2.62,,,,,,,Cts,300,US$
Mumbai,4973,Fancy Brown Pink,Pear,SI1,0.49,G,F,7.46X4.84X1.60,33,56,None,,GIA,6412000000,Cts,2000,US$
Mumbai,1049,Faint Green,Round,,0.49,,,5.08x5.15x3.08,0,0,None,,GIA,6226000000,Cts,2000,US$
Hong Kong,5131,,Cadillac,,0.49,,,4.70x3.70,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,7100,Fancy Dark Gray Yellowish Green,Cushion,I1,0.49,G,GD,4.62 x 4.57 x 2.65,58.1,68,STG,White,GIA,6453000000,Cts,2007,US$
Mumbai,6496,G,Shield,,0.48,,,5X3.35X,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,1381,Fancy Vivid Yellow,Cushion,SI1,0.48,EX,VG,5.04X4.24X2.75,64.9,62,None,,GIA,2166000000,Cts,4500,US$
Bangkok,4730,Fancy Light Greenish Blue,Pear,SI1,0.48,G,GD,5.9X4.33X2.56,59.3,57,None,,GIA,6385000000,Cts,4500,US$
Mumbai,8698,Fancy Light Yellow Green,Radiant,SI2,0.48,VG,GD,4.36x4.34x2.86,65.9,67,Vst,Green,GIA,1549000000,Cts,4000,US$
Mumbai,2963,Light Yellowish Gray,Heart,SI2,0.47,,,4.46*5.07*2.87,0,0,None,,CGL,H8979629,Cts,0,US$
Bangkok,1348,Fancy Light Gray,Radiant,I2,0.46,G,GD,4.61*4.48*2.85,63.5,65,None,,GIA,1187000000,Cts,2200,US$
Mumbai,7107,Fancy Vivid Yellow Orange,Cushion,SI2,0.46,VG,VG,4.85 X 3.75 X 2.72,72.4,58,None,,GIA,7452000000,Cts,8888,US$
Mumbai,5537,Fancy Brownish Pink,Radiant,SI2,0.46,EX,GD,4.04 x 4.01 x 2.99,74.6,69,None,,GIA,6412000000,Cts,3600,US$
Hong Kong,5168,,Cadillac,,0.46,,,4.30X3.60,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,7794,Faint Pink,Round,VS2,0.46,EX,EX,5.02 x 5.03 X 2.98,59.2,60,None,,GIA,2474000000,Cts,1900,US$
Bangkok,5723,Fancy Yellow,Cushion,SI1,0.46,EX,GD,4.38x4.02x2.84,70.8,55,Fnt,,GIA,2225000000,Cts,1000,US$
Bangkok,4970,Fancy Yellow Green,Pear,I1,0.46,G,VG,6.26 x 3.88 x 2.45,63.2,64,None,,GIA,3415000000,Cts,800,US$
Mumbai,99,Fancy Light Purplish Pink,Round,,0.46,,,4.94 X 4.99 X 3.02,0,0,None,,GIA,2146000000,Cts,18000,US$
Bangkok,5647,G,Cadillac,VS1,0.46,,,XX,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,4087,G,Baguettes,VS1,0.46,,,,0,0,None,,Side Stone,,Cts,1800,US$
Hong Kong,2309,W-X,Round,SI2,0.46,G,GD,4.97X4.91X3.09,62.5,57,Fnt,,GIA,7252000000,Cts,1500,US$
Bangkok,5128,,Bullet,,0.45,,,5.10 x 3.60,,,None,,Side Stone,,Cts,1450,US$
Mumbai,9259,Faint Pink,Round,I1,0.45,EX,EX,4.93 - 4.95 x 2.99,60.5,61,None,,GIA,3415000000,Cts,1000,US$
Mumbai,9258,Faint Pink,Round,SI2,0.45,EX,EX,4.87 - 4.90 x 3.00,61.4,60,None,,GIA,7529000000,Cts,1500,US$
Mumbai,4161,Fancy Intense Yellow,Pear,SI1,0.45,G,GD,6.97*4.38*1.97,45.1,63,None,,GIA,7366000000,Cts,1800,US$
Hong Kong,5130,,Cadillac,,0.45,,,4.50x3.70,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,4073,,Trapezoid,,0.45,,,5.00X3.15,0,0,None,,Side Stone,,Cts,1450,US$
Mumbai,7112,Fancy Vivid Yellow Orange,Cushion,I1,0.45,EX,GD,4.57 X 3.94 X 2.90,73.6,50,Med,Yellow,GIA,7312000000,Cts,8888,US$
Mumbai,4657,Fancy Light Purplish Pink,Cushion,I1,0.45,EX,VG,4.75*3.99*2.65,66.4,63,None,,GIA,2166000000,Cts,5400,US$
Bangkok,5136,,Shield,SI1,0.44,,,5.00 x 3.70,0,0,None,,Side Stone,,Cts,1400,US$
Mumbai,7683,Fancy Intense Orangy Yellow,Marquise,I1,0.44,VG,F,6.82 x 3.88 x 2.44,62.9,63,STG,Yellow,GIA,6485000000,Cts,2800,US$
Mumbai,5760,Fancy Deep Purplish Pink,Pear,I1,0.44,,,6.81 X 3.99,,,Med,,AGT,5296452,Cts,15000,US$
Mumbai,8741,Fancy Grayish Yellowish Green,Round,SI1,0.44,G,GD,4.91 - 4.93 X 2.97,60.3,59,None,,GIA,1537000000,Cts,1800,US$
Bangkok,1055,F,Round,VVS2,0.44,VG,VG,4.89X4.85X3.04,62.4,58,Fnt,,GIA,7223000000,Cts,2000,US$
Mumbai,4511,Fancy Light Pinkish Purple,Cushion,SI2,0.43,VG,VG,4.22*4.11*2.81,68.5,58,None,,GIA,2201000000,Cts,7500,US$
Mumbai,9361,F,Trapezoid,VS,0.43,,,,,,,,,,Cts,0,US$
Hong Kong,5167,,Cadillac,,0.43,,,4.50X3.60,0,0,None,,Side Stone,,Cts,1400,US$
Mumbai,5757,Fancy Pinkish Purple,Heart,,0.43,,,4.85 X 5.06 X 2.74,0,0,None,,GIA,2141000000,Cts,7200,US$
Bangkok,5659,,Cadillac,VS1,0.43,,,XX,0,0,None,,Side Stone,,Cts,1400,US$
Mumbai,5033,Fancy Intense Yellow,Oval,SI1,0.43,VG,F,5.41*4.08*2.53,62.1,65,Fnt,,GIA,5212000000,Cts,1500,US$
Mumbai,4656,Fancy Light Orangy Pink,Cushion,SI1,0.43,VG,GD,4.29.4.09*2.66,65,55,None,,GIA,1159000000,Cts,7200,US$
Mumbai,4309,Fancy Vivid Yellow,Oval,VS1,0.43,G,GD,4.96*3.88*2.72,70.2,61,None,,GIA,7221000000,Cts,3000,US$
Mumbai,2238,Fancy Pink Purple,Cushion,I2,0.43,EX,GD,4.49X3.98X2.73,68.7,62,Med,Blue,GIA,5224000000,Cts,8000,US$
Mumbai,6181,Fancy Yellow,Cushion,SI2,0.42,EX,VG,4.83 X 3.63 X 2.50,68.9,55,None,,GIA,6227000000,Cts,1200,US$
Bangkok,5160,Light Pink,Cushion,I2,0.42,VG,GD,4.42X4.13X2.67,64.7,61,Med,Blue,GIA,7404000000,Cts,2700,US$
Bangkok,7129,Very Light Pink,Pear,I1,0.42,VG,GD,6.45X3.94X2.6,65.3,57,None,,GIA,6432000000,Cts,2600,US$
Mumbai,118,Fancy Intense Purple Pink,Radiant,I2,0.42,VG,GD,4.19X3.80X2.75,72.3,69,Fnt,,GIA,2207000000,Cts,20000,US$
Hong Kong,330,Fancy Pink Purple,Marquise,SI2,0.42,G,GD,6.73X3.62X2.62,72.4,57,Med,,GIA,6183000000,Cts,23000,US$
Bangkok,6034,Light Pink Brown,Oval,SI2,0.42,VG,VG,5.28 X 3.88 X 2.57,66.3,59,Fnt,,GIA,1439000000,Cts,2700,US$
Bangkok,2975,Fancy Intense Pink,Oval,I1,0.42,,,6.19X4.10X2.46,,,None,,AGT,5271609,Cts,45000,US$
Mumbai,8249,Fancy Light Greenish Yellow,Emerald,VS2,0.42,,,5.07X3.25X2.24,,,,,,,Cts,300,US$
Mumbai,2109,Fancy Light Gray Blue,Round,SI2,0.42,G,GD,4.80X4.72X2.95,62,64,None,,GIA,2278000000,Cts,30000,US$
Hong Kong,9498,Fancy Intense Pink,Radiant,,0.42,,,4.15 x 4.01 x 2.69,,,,,GIA,17794056,Cts,0,US$
Mumbai,6629,F,Radiant,IF,0.41,EX,VG,5.05 x 3.72 x 2.63,70.5,71,None,,GIA,7432000000,Cts,1200,US$
Mumbai,1896,Fancy Intense Yellow,Cushion,SI1,0.41,EX,GD,4.59X3.93X2.62,66.6,61,Fnt,,GIA,1187000000,Cts,1350,US$
Mumbai,8248,Fancy Dark Brown,Emerald,VS2,0.41,,,5.1X3.04X2.3,,,,,,,Cts,300,US$
Mumbai,7235,Fancy Pinkish Purple,Cushion,VVS2,0.41,VG,GD,4.39 x 4.35 x 2.63,60.5,61,None,,GIA,3466000000,Cts,25000,US$
Mumbai,2340,Fancy Light Bluish Green,Round,VVS2,0.41,VG,VG,4.79X4.75X2.91,61,61,None,,GIA,1112000000,Cts,16500,US$
Bangkok,4139,Light Pink,Cushion,SI2,0.41,VG,GD,4.25 X 4.25 X 2.58,,60,None,,GIA,2368000000,Cts,4500,US$
Mumbai,7679,Faint Pink,Pear,VS2,0.41,VG,VG,6.84X4.05X2.4,59.4,60,None,,GIA,1463000000,Cts,3900,US$
Bangkok,6454,,Star,,0.41,,,8.2,0,0,None,,Side Stone,SV-28,Cts,0,US$
Mumbai,80,Fancy Blue Gray,Radiant,SI1,0.41,G,F,4.14X3.92X3.17,80.8,60,None,,GIA,5214000000,Cts,20000,US$
Bangkok,7130,Light Pink,Pear,I1,0.41,G,GD,6.06X3.85X2.4,63.4,59,Fnt,,GIA,2437000000,Cts,3006,US$
Bangkok,6387,Light Pink,Pear,VS2,0.41,VG,GD,6.04 x 3.87 x 2.49,64.2,55,None,,GIA,6225000000,Cts,4000,US$
Bangkok,6315,Light Pink,Cushion,I1,0.41,VG,VG,4.55 x 3.78 x 2.57,68.1,56,None,,GIA,5223000000,Cts,6000,US$
Mumbai,5408,Fancy Light Pinkish Purple,Pear,VS2,0.41,G,GD,5.96 X 3.63 X 2.59,71.3,62,Fnt,,GIA,2223000000,Cts,13500,US$
Mumbai,5733,Fancy Yellow,Radiant,I1,0.41,VG,VG,4.07x3.90x2.69,69.1,62,Med,Blue,GIA,2225000000,Cts,900,US$
Mumbai,7110,Fancy Vivid Yellow Orange,Cushion,SI2,0.41,VG,VG,4.37 X 3.81 X 2.65,69.6,59,Med,Yellow,GIA,7416000000,Cts,8888,US$
